Hour,Dayweek,Month,Year,Year-Month,Crash_Count
01,Sunday,5,2021,2021-5,1
01,Sunday,6,2017,2017-6,1
01,Sunday,6,2018,2018-6,1
01,Sunday,6,2019,2019-6,1
01,Sunday,6,2020,2020-6,1
01,Sunday,7,2015,2015-7,1
01,Sunday,7,2016,2016-7,1
01,Sunday,7,2017,2017-7,1
01,Sunday,7,2018,2018-7,1
01,Sunday,7,2021,2021-7,2
01,Sunday,8,2015,2015-8,1
01,Sunday,8,2016,2016-8,2
01,Sunday,8,2020,2020-8,1
01,Sunday,8,2021,2021-8,2
01,Sunday,10,2015,2015-10,1
01,Sunday,10,2017,2017-10,1
01,Sunday,10,2018,2018-10,1
01,Sunday,10,2019,2019-10,1
01,Sunday,10,2020,2020-10,1
01,Sunday,11,2017,2017-11,1
01,Sunday,11,2019,2019-11,1
01,Sunday,12,2015,2015-12,1
01,Sunday,12,2016,2016-12,1
01,Thursday,1,2019,2019-1,1
01,Thursday,2,2016,2016-2,1
01,Thursday,2,2019,2019-2,1
01,Thursday,4,2015,2015-4,1
01,Thursday,4,2018,2018-4,1
01,Thursday,5,2015,2015-5,1
01,Thursday,5,2021,2021-5,2
01,Thursday,6,2017,2017-6,1
01,Thursday,7,2015,2015-7,2
01,Thursday,7,2016,2016-7,1
01,Thursday,7,2021,2021-7,1
01,Thursday,8,2015,2015-8,1
01,Thursday,8,2019,2019-8,1
01,Thursday,11,2018,2018-11,1
01,Tuesday,2,2015,2015-2,1
01,Tuesday,4,2016,2016-4,1
01,Tuesday,4,2018,2018-4,1
01,Tuesday,7,2017,2017-7,1
01,Tuesday,8,2015,2015-8,1
01,Tuesday,8,2017,2017-8,1
01,Tuesday,11,2015,2015-11,1
01,Tuesday,12,2015,2015-12,1
01,Tuesday,12,2019,2019-12,1
01,Wednesday,1,2016,2016-1,1
01,Wednesday,1,2020,2020-1,1
01,Wednesday,1,2021,2021-1,1
01,Wednesday,2,2015,2015-2,1
01,Wednesday,3,2018,2018-3,1
01,Wednesday,3,2021,2021-3,1
01,Wednesday,5,2019,2019-5,1
01,Wednesday,6,2020,2020-6,1
01,Wednesday,7,2016,2016-7,1
01,Wednesday,7,2021,2021-7,1
01,Wednesday,8,2019,2019-8,1
01,Wednesday,9,2015,2015-9,1
01,Wednesday,11,2017,2017-11,1
02,Friday,1,2016,2016-1,1
02,Friday,1,2019,2019-1,1
02,Friday,2,2015,2015-2,1
02,Friday,2,2017,2017-2,1
02,Friday,2,2018,2018-2,1
02,Friday,2,2019,2019-2,1
02,Friday,2,2020,2020-2,1
02,Friday,4,2015,2015-4,1
02,Friday,4,2017,2017-4,2
02,Friday,4,2019,2019-4,2
02,Friday,5,2015,2015-5,2
02,Friday,8,2015,2015-8,1
02,Friday,8,2016,2016-8,1
02,Friday,8,2018,2018-8,1
02,Friday,9,2019,2019-9,1
02,Friday,11,2017,2017-11,2
02,Friday,12,2015,2015-12,2
02,Friday,12,2016,2016-12,1
02,Friday,12,2020,2020-12,1
02,Monday,1,2016,2016-1,1
02,Monday,1,2017,2017-1,1
02,Monday,1,2018,2018-1,2
02,Monday,1,2019,2019-1,1
02,Monday,3,2021,2021-3,1
02,Monday,6,2015,2015-6,1
02,Monday,6,2017,2017-6,1
02,Monday,8,2015,2015-8,2
02,Monday,11,2017,2017-11,1
02,Monday,11,2018,2018-11,2
02,Monday,11,2020,2020-11,1
02,Monday,12,2015,2015-12,1
02,Monday,12,2018,2018-12,1
02,Saturday,1,2015,2015-1,1
02,Saturday,1,2016,2016-1,1
02,Saturday,2,2016,2016-2,1
02,Saturday,2,2017,2017-2,1
02,Saturday,2,2018,2018-2,1
02,Saturday,2,2019,2019-2,2
02,Saturday,2,2020,2020-2,1
02,Saturday,3,2017,2017-3,1
02,Saturday,3,2018,2018-3,4
02,Saturday,3,2021,2021-3,1
02,Saturday,4,2016,2016-4,3
02,Saturday,4,2019,2019-4,1
02,Saturday,4,2021,2021-4,1
02,Saturday,5,2018,2018-5,3
02,Saturday,5,2019,2019-5,1
02,Saturday,5,2020,2020-5,2
02,Saturday,5,2021,2021-5,1
02,Saturday,6,2015,2015-6,2
02,Saturday,6,2017,2017-6,1
02,Saturday,6,2018,2018-6,1
02,Saturday,7,2016,2016-7,2
02,Saturday,7,2018,2018-7,1
02,Saturday,7,2021,2021-7,3
02,Saturday,8,2015,2015-8,1
02,Saturday,8,2020,2020-8,2
02,Saturday,9,2015,2015-9,1
02,Saturday,9,2017,2017-9,2
02,Saturday,10,2015,2015-10,1
02,Saturday,10,2017,2017-10,2
02,Saturday,10,2019,2019-10,1
02,Saturday,10,2020,2020-10,2
02,Saturday,11,2016,2016-11,2
02,Saturday,11,2017,2017-11,1
02,Saturday,12,2015,2015-12,1
02,Saturday,12,2017,2017-12,2
02,Saturday,12,2019,2019-12,1
02,Sunday,1,2016,2016-1,1
02,Sunday,2,2020,2020-2,1
02,Sunday,2,2021,2021-2,1
02,Sunday,3,2015,2015-3,1
02,Sunday,3,2016,2016-3,1
02,Sunday,3,2020,2020-3,1
02,Sunday,3,2021,2021-3,1
02,Sunday,4,2020,2020-4,1
02,Sunday,5,2018,2018-5,1
02,Sunday,5,2019,2019-5,1
02,Sunday,5,2020,2020-5,1
02,Sunday,5,2021,2021-5,1
02,Sunday,6,2016,2016-6,1
02,Sunday,6,2017,2017-6,1
02,Sunday,6,2018,2018-6,1
02,Sunday,6,2019,2019-6,1
02,Sunday,7,2017,2017-7,1
02,Sunday,7,2020,2020-7,1
02,Sunday,8,2015,2015-8,1
02,Sunday,8,2018,2018-8,1
